Date,Mkt-RF,SMB,HML,RMW,CMA,RF
200808,1.53,3.46,1.59,1.86,0.84,0.13
200809,-9.24,0.25,5.92,2.41,1.78,0.15
200810,-17.23,-3.34,-2.3,3.04,2.05,0.08
200811,-7.86,-3.89,-6.31,4.53,2.74,0.03
200812,1.74,3.29,0.15,0.06,-1.49,0
200901,-8.12,-2.13,-11.29,0.18,-1.16,0
200902,-10.1,-1.33,-6.95,1.19,-1.02,0.01
200903,8.95,0.68,3.48,-2.52,-2.24,0.02
200904,10.18,7.13,5.36,1.31,0.13,0.01
200905,5.21,-2.32,0.27,-0.78,-2.16,0
200906,0.43,2.29,-2.73,-1.41,-0.33,0.01
200907,7.72,2.39,4.84,-0.46,3.14,0.01
200908,3.33,-0.09,7.63,-3.02,3.34,0.01
200909,4.08,2.73,1.04,1.31,0.35,0.01
200910,-2.59,-4.93,-4.2,4.17,-1.49,0
200911,5.56,-2.68,-0.34,1,0.12,0
200912,2.75,6.23,-0.17,1.02,-0.09,0.01
201001,-3.36,0.34,0.43,-1.27,0.46,0
201002,3.4,1.51,3.23,-0.27,1.43,0
201003,6.31,1.85,2.21,-0.65,1.69,0.01
201004,2,4.98,2.89,0.69,1.72,0.01
201005,-7.89,0.04,-2.44,1.3,-0.22,0.01
201006,-5.57,-2.47,-4.7,-0.16,-1.55,0.01
201007,6.93,0.14,-0.33,0.27,1.98,0.01
201008,-4.77,-3.13,-1.93,0.58,-1.61,0.01
201009,9.54,3.77,-3.18,-0.18,0.36,0.01
201010,3.88,0.86,-2.51,1.31,-0.33,0.01
201011,0.6,3.64,-0.92,0.38,1.63,0.01
201012,6.82,0.99,3.76,-3.52,3.21,0.01
201101,1.99,-2.38,0.75,-0.65,0.77,0.01
201102,3.49,1.65,1.27,-1.93,0.87,0.01
201103,0.46,2.63,-1.85,1.8,-0.05,0.01
201104,2.9,-0.5,-2.49,1.11,-0.86,0
201105,-1.27,-0.71,-2,1.91,-1.5,0
201106,-1.75,0.13,-0.39,2.43,-1.51,0
201107,-2.35,-1.2,-0.9,2.68,-1.82,0
201108,-5.99,-3.2,-2.36,3.3,-0.38,0.01
201109,-7.59,-3.65,-1.72,2.04,0.26,0
201110,11.35,3.46,0.1,-2.16,-0.86,0
201111,-0.28,-0.27,-0.45,1.86,1.49,0
201112,0.74,-0.33,1.63,0.98,2.51,0
201201,5.05,2.05,-0.97,-2.01,-1.43,0
201202,4.42,-1.7,0.43,-0.48,-0.01,0
201203,3.11,-0.47,1.14,-0.54,0.74,0
201204,-0.85,-0.55,-0.78,1.3,0.65,0
201205,-6.19,-0.12,-1.06,2.08,2.32,0.01
201206,3.89,0.84,0.62,-1.09,0.46,0
201207,0.79,-2.8,-0.02,1.1,0.09,0
201208,2.55,0.45,1.3,-1.33,-0.86,0.01
201209,2.73,0.61,1.6,-1.49,1.54,0.01
201210,-1.76,-0.9,3.59,-1.34,2.51,0.01
201211,0.78,0.47,-0.84,0.6,0.84,0.01
201212,1.18,1.91,3.51,-1.85,0.88,0.01
